Satellite,Epoch Time,x,y,z
QZSS01,2021-03-19 00:00:00,-28924428.704011317,30704341.724950567,5142443.50577298
QZSS01,2021-03-19 01:00:00,-28923431.245230928,30705378.978170175,5139471.0051265005
QZSS01,2021-03-19 02:00:00,-28921363.852362067,30707387.341107994,5137068.379365687
QZSS01,2021-03-19 03:00:00,-28919124.18546631,30709519.389888242,5135003.037389103
QZSS01,2021-03-19 04:00:00,-28917806.98711298,30710750.406108323,5133310.277060434
QZSS01,2021-03-19 05:00:00,-28917911.191324785,30710629.72215704,5132156.578626191
QZSS01,2021-03-19 06:00:00,-28918682.434662722,30709879.933699273,5131228.885661764
QZSS01,2021-03-19 09:00:00,-28920081.415190905,30708873.98366782,5136248.767474287
QZSS01,2021-03-19 10:00:00,-28919884.476745304,30709503.41728429,5139650.92814672
QZSS01,2021-03-19 11:00:00,-28919221.669130575,30710544.358798813,5141379.161239454
QZSS01,2021-03-19 12:00:00,-28918607.409921546,30711350.061459005,5141514.358956857
QZSS01,2021-03-19 13:00:00,-28918514.86574003,30711416.476315524,5140722.557161052
QZSS01,2021-03-19 14:00:00,-28918604.273138437,30711226.17766706,5139572.776994658
QZSS01,2021-03-19 15:00:00,-28918408.21331502,30711380.73992273,5138442.371567861
QZSS01,2021-03-19 16:00:00,-28917419.041209154,30712416.928265247,5137361.112831423
QZSS01,2021-03-19 17:00:00,-28916503.43481261,30713415.009043615,5137591.966810365
QZSS01,2021-03-19 18:00:00,-28915713.549716868,30714259.59005195,5138568.341747458
QZSS01,2021-03-19 19:00:00,-28915161.970353585,30714815.295373872,5139382.752796021
QZSS01,2021-03-19 20:00:00,-28915327.174825948,30714638.28257543,5139969.245954621
QZSS01,2021-03-19 21:00:00,-28916634.06057493,30713355.597544044,5140723.089678507
QZSS01,2021-03-19 22:00:00,-28918515.088819187,30711556.12347157,5141297.634880085
QZSS01,2021-03-19 23:00:00,-28919926.39374877,30710239.028920375,5141304.474881268
QZSS01,2021-03-20 00:00:00,-28920215.108979303,30710006.31541649,5140646.47549916
QZSS02,2021-03-19 00:00:00,-27390127.255681466,25483541.076390322,24300110.430668596
QZSS02,2021-03-19 01:00:00,-27382914.81204413,25491010.33077684,24300046.563777737
QZSS02,2021-03-19 02:00:00,-27377063.275285758,25494694.096506283,24302670.14882082
QZSS02,2021-03-19 03:00:00,-27377621.48159266,25492484.672175754,24304632.593228873
QZSS02,2021-03-19 04:00:00,-27380339.46536765,25486318.524833817,24308654.88819115
QZSS02,2021-03-19 05:00:00,-27382271.282022323,25479825.379585147,24313642.67590163
QZSS02,2021-03-19 06:00:00,-27383543.157152947,25477730.380249456,24314259.961704347
QZSS02,2021-03-19 07:00:00,-27382121.11949282,25483530.19023663,24309853.20856235
QZSS02,2021-03-19 08:00:00,-27376665.798926648,25493646.75842947,24305875.82690778
QZSS02,2021-03-19 09:00:00,-27372486.051045112,25500299.870814003,24303945.30434435
