Satellite,Epoch Time,Parameter,Value
QZSS07,2021-03-19 00:00:00,SVclockBias,-1.536682248116e-08
QZSS07,2021-03-19 00:00:00,SVclockDrift,0.0
QZSS07,2021-03-19 00:00:00,SVclockDriftRate,0.0
QZSS07,2021-03-19 00:00:00,IODE,29.0
QZSS07,2021-03-19 00:00:00,Crs,-292.84375
QZSS07,2021-03-19 00:00:00,DeltaN,0.0
QZSS07,2021-03-19 00:00:00,M0,-1.031819346595
QZSS07,2021-03-19 00:00:00,Cuc,-9.713694453239e-06
QZSS07,2021-03-19 00:00:00,Eccentricity,0.0001331978710368
QZSS07,2021-03-19 00:00:00,Cus,6.536021828651e-06
QZSS07,2021-03-19 00:00:00,sqrtA,6493.424846649
QZSS07,2021-03-19 00:00:00,Toe,432000.0
QZSS07,2021-03-19 00:00:00,Cic,-1.158565282822e-06
QZSS07,2021-03-19 00:00:00,Omega0,0.3840974291425
QZSS07,2021-03-19 00:00:00,Cis,-4.936009645462e-07
QZSS07,2021-03-19 00:00:00,Io,0.001255025716859
QZSS07,2021-03-19 00:00:00,Crc,-196.1875
QZSS07,2021-03-19 00:00:00,omega,2.951129405014
QZSS07,2021-03-19 00:00:00,OmegaDot,1.158619689732e-09
QZSS07,2021-03-19 00:00:00,IDOT,0.0
QZSS07,2021-03-19 00:00:00,CodesL2,2.0
QZSS07,2021-03-19 00:00:00,GPSWeek,2149.0
QZSS07,2021-03-19 00:00:00,L2Pflag,0.0
QZSS07,2021-03-19 00:00:00,SVacc,2.8
QZSS07,2021-03-19 00:00:00,health,0.0
QZSS07,2021-03-19 00:00:00,TGD,-6.053596735001e-09
QZSS07,2021-03-19 00:00:00,IODC,797.0
QZSS07,2021-03-19 00:00:00,TransTime,431976.0
QZSS07,2021-03-19 00:00:00,FitIntvl,0.0
QZSS01,2021-03-19 00:00:00,SVclockBias,-0.0003562793135643
QZSS01,2021-03-19 00:00:00,SVclockDrift,-3.410605131648e-12
QZSS01,2021-03-19 00:00:00,SVclockDriftRate,0.0
QZSS01,2021-03-19 00:00:00,IODE,29.0
QZSS01,2021-03-19 00:00:00,Crs,-109.84375
QZSS01,2021-03-19 00:00:00,DeltaN,1.270410060535e-09
QZSS01,2021-03-19 00:00:00,M0,-1.640093694131
QZSS01,2021-03-19 00:00:00,Cuc,-3.721565008163e-06
QZSS01,2021-03-19 00:00:00,Eccentricity,0.07490576792043
QZSS01,2021-03-19 00:00:00,Cus,2.367421984673e-06
QZSS01,2021-03-19 00:00:00,sqrtA,6492.969064713
QZSS01,2021-03-19 00:00:00,Toe,432000.0
QZSS01,2021-03-19 00:00:00,Cic,2.922490239143e-06
QZSS01,2021-03-19 00:00:00,Omega0,-0.5583780286062
QZSS01,2021-03-19 00:00:00,Cis,-2.350658178329e-06
QZSS01,2021-03-19 00:00:00,Io,0.7311275511743
QZSS01,2021-03-19 00:00:00,Crc,70.65625
QZSS01,2021-03-19 00:00:00,omega,-1.572094163346
QZSS01,2021-03-19 00:00:00,OmegaDot,-7.264588313548e-10
QZSS01,2021-03-19 00:00:00,IDOT,3.057270204718e-10
QZSS01,2021-03-19 00:00:00,CodesL2,2.0
QZSS01,2021-03-19 00:00:00,GPSWeek,2149.0
QZSS01,2021-03-19 00:00:00,L2Pflag,0.0
QZSS01,2021-03-19 00:00:00,SVacc,2.8
QZSS01,2021-03-19 00:00:00,health,0.0
QZSS01,2021-03-19 00:00:00,TGD,-5.587935447693e-09
QZSS01,2021-03-19 00:00:00,IODC,797.0
QZSS01,2021-03-19 00:00:00,TransTime,431976.0
QZSS01,2021-03-19 00:00:00,FitIntvl,0.0
QZSS02,2021-03-19 00:00:00,SVclockBias,3.627967089415e-06
QZSS02,2021-03-19 00:00:00,SVclockDrift,6.821210263297e-13
QZSS02,2021-03-19 00:00:00,SVclockDriftRate,0.0
QZSS02,2021-03-19 00:00:00,IODE,29.0
QZSS02,2021-03-19 00:00:00,Crs,656.75
QZSS02,2021-03-19 00:00:00,DeltaN,7.914615389785e-10
QZSS02,2021-03-19 00:00:00,M0,2.378820090925
QZSS02,2021-03-19 00:00:00,Cuc,1.990050077438e-05
QZSS02,2021-03-19 00:00:00,Eccentricity,0.0746594312368
QZSS02,2021-03-19 00:00:00,Cus,4.91552054882e-06
QZSS02,2021-03-19 00:00:00,sqrtA,6493.62736702
QZSS02,2021-03-19 00:00:00,Toe,432000.0
QZSS02,2021-03-19 00:00:00,Cic,-3.986060619354e-06
QZSS02,2021-03-19 00:00:00,Omega0,1.724574884243
