Satellite,Epoch Time,x,y,z
GPS01,2009-06-30 00:00:00,-2577842.8557639606,15137554.0214415,-21757860.936215222
GPS01,2009-06-30 01:59:44,-2577045.799395748,15137862.999107335,-21757742.244727053
GPS01,2009-06-30 02:00:00,-2577042.687599835,15137864.105524136,-21757741.87839501
GPS01,2009-06-30 03:59:44,-2576853.5396229294,15137866.391115004,-21757756.13814905
GPS01,2009-06-30 06:00:00,-2577946.7502429467,15137684.17658077,-21757787.65260464
GPS01,2009-06-30 08:00:00,-2578876.718903773,15137787.639888948,-21757632.216167793
GPS01,2009-06-30 10:00:00,-2579373.902841847,15137707.890877943,-21757631.89530712
GPS01,2009-06-30 12:00:00,-2579657.80122828,15137287.164414773,-21757889.677594688
GPS01,2009-06-30 14:00:00,-2578564.343280846,15136867.011498665,-21758315.5151448
GPS01,2009-06-30 16:00:00,-2577450.879173122,15136938.155959925,-21758394.205688972
GPS01,2009-06-30 18:00:00,-2577544.9279825795,15137014.542753993,-21758354.20029268
GPS01,2009-06-30 20:00:00,-2577493.9066574005,15137481.884420527,-21758049.48334708
GPS01,2009-06-30 22:00:00,-2577615.022955661,15137578.37539692,-21757971.0813824
GPS01,2009-06-30 23:59:44,-2577481.7916441816,15138454.74039397,-21757377.894601565
GPS02,2009-06-30 00:00:00,-18229517.28017058,3719300.25263604,-18884511.64684526
GPS02,2009-06-30 02:00:00,-18229270.62039655,3717670.1940440233,-18885092.88756946
GPS02,2009-06-30 04:00:00,-18229440.751909968,3717970.0375465294,-18884886.17609134
GPS02,2009-06-30 06:00:00,-18230350.96706866,3718699.1938232044,-18883734.120690558
GPS02,2009-06-30 07:59:44,-18230756.202875692,3719689.536722053,-18883027.780837942
GPS02,2009-06-30 08:00:00,-18230759.098684117,3719689.1548798475,-18883025.11511614
GPS02,2009-06-30 09:59:44,-18230641.749477383,3719494.3746598363,-18883200.157737706
GPS02,2009-06-30 12:00:00,-18229743.725077163,3718928.868973334,-18884200.173645373
GPS02,2009-06-30 14:00:00,-18229278.740251288,3716123.4763589795,-18885239.325144373
GPS02,2009-06-30 16:00:00,-18229308.231585078,3715932.9388757516,-18885271.473449998
GPS02,2009-06-30 18:00:00,-18229685.80252247,3716737.2014475907,-18884623.205810063
GPS02,2009-06-30 20:00:00,-18229358.01360914,3719431.740793583,-18884230.41603156
GPS02,2009-06-30 22:00:00,-18229230.364252366,3719393.520098722,-18884375.425231025
GPS03,2009-06-30 00:00:00,17879237.99026115,65129.184459251905,19427104.915733956
GPS03,2009-06-30 02:00:00,17880309.961893633,64962.481258086664,19426141.338977937
GPS03,2009-06-30 04:00:00,17880276.561162237,64494.045127965954,19426151.62245288
GPS03,2009-06-30 05:59:44,17880197.17272925,63182.77243068115,19426102.133874282
GPS03,2009-06-30 06:00:00,17880199.34858629,63188.48346585851,19426100.33229161
GPS03,2009-06-30 08:00:00,17879316.785041556,63173.81505570245,19426821.260062765
GPS03,2009-06-30 10:00:00,17879737.805884134,64724.60475018328,19426458.510030888
GPS03,2009-06-30 12:00:00,17879749.765237354,65709.64559209796,19426458.486130588
GPS03,2009-06-30 14:00:00,17880858.311905663,66108.266621125,19425465.591787722
GPS03,2009-06-30 15:59:44,17880639.298648864,65405.96788379404,19425648.190204404
GPS03,2009-06-30 16:00:00,17880634.26158492,65392.66931920107,19425652.471876904
GPS03,2009-06-30 18:00:00,17879610.902757872,63835.49589161806,19426459.16120291
GPS03,2009-06-30 20:00:00,17877689.163708262,63068.92232736419,19428096.993714336
GPS03,2009-06-30 22:00:00,17877710.8708424,63479.8343076389,19428075.429372534
GPS04,2009-06-30 00:00:00,-13519179.373091819,-8037864.40379431,-21537934.878042527
GPS04,2009-06-30 02:00:00,-13519361.055854542,-8036623.704918865,-21538298.17085983
GPS04,2009-06-30 04:00:00,-13518935.786823874,-8037235.502682321,-21538348.734149925
GPS04,2009-06-30 06:00:00,-13519574.773449138,-8035884.312050567,-21538401.30281568
GPS04,2009-06-30 08:00:00,-13519588.91542858,-8037455.663329222,-21537882.14114734
GPS04,2009-06-30 10:00:00,-13520360.586710442,-8036352.749870761,-21537800.665333256
GPS04,2009-06-30 12:00:00,-13519598.918399911,-8038730.755581373,-21537371.060886405
GPS04,2009-06-30 13:59:44,-13519569.222288083,-8038076.912528785,-21537641.649648003
GPS04,2009-06-30 16:00:00,-13518383.206896467,-8039711.830506002,-21537778.269649867
GPS04,2009-06-30 18:00:00,-13518358.901965443,-8037418.84705977,-21538569.760343652
GPS04,2009-06-30 20:00:00,-13517690.118576774,-8038463.844464293,-21538659.819179885
GPS04,2009-06-30 22:00:00,-13518807.45890257,-8036653.559191819,-21538634.89515064
GPS06,2009-06-30 00:00:00,18833880.09123729,5028127.1768224295,18262985.54349833
GPS06,2009-06-30 01:59:44,18833938.612279456,5028516.071312276,18262817.63008969
GPS06,2009-06-30 02:00:00,18833939.406717006,5028515.109988965,18262817.025242526
GPS06,2009-06-30 03:59:44,18833738.495033987,5027601.261940674,18263235.37369201
GPS06,2009-06-30 06:00:00,18833455.400893196,5027355.585494279,18263561.815895736
GPS06,2009-06-30 08:00:00,18833762.072808083,5027190.251824052,18263294.254931264
GPS06,2009-06-30 10:00:00,18834164.060066815,5029037.152953238,18262386.65358551
GPS06,2009-06-30 12:00:00,18834485.142931223,5028572.878220553,18262183.913222115
GPS06,2009-06-30 14:00:00,18834401.30467357,5029637.525155796,18261975.71869721
GPS06,2009-06-30 16:00:00,18834001.83235507,5028469.231462757,18262670.040859666
GPS06,2009-06-30 18:00:00,18832707.080668118,5028183.2529224595,18264042.168776877
GPS06,2009-06-30 20:00:00,18832452.21417623,5027171.767817362,18264573.525452506
GPS06,2009-06-30 22:00:00,18832734.434392937,5028091.268255061,18264043.480020333
GPS07,2009-06-30 00:00:00,4356003.959306869,-23119822.584048864,12176899.563172758
GPS07,2009-06-30 02:00:00,4356674.752471285,-23120099.49793454,12176132.45421449
GPS07,2009-06-30 04:00:00,4356502.938025319,-23119972.074272648,12176402.045112155
GPS07,2009-06-30 06:00:00,4357134.333959207,-23120074.936580796,12176048.112770883
GPS07,2009-06-30 08:00:00,4356326.1625968,-23119907.527771663,12176576.75052825
GPS07,2009-06-30 10:00:00,4355963.466538661,-23119715.26659502,12177036.212291276
GPS07,2009-06-30 12:00:00,4357229.142049212,-23119627.452760085,12176748.544486865
GPS07,2009-06-30 14:00:00,4357775.822561713,-23119556.406769108,12176688.802617395
GPS07,2009-06-30 16:00:00,4357075.82387956,-23119363.12739336,12177273.8902332
GPS07,2009-06-30 18:00:00,4356451.598493867,-23119680.211874563,12176919.326265609
GPS07,2009-06-30 19:59:28,4355681.944406728,-23119563.798351076,12177366.116837613
GPS07,2009-06-30 20:00:00,4355683.217794842,-23119565.207438055,12177363.08660734
GPS07,2009-06-30 21:59:28,4355247.28244399,-23119469.197339393,12177661.254553948
GPS08,2009-06-30 00:00:00,-5919013.755745939,-15293997.734165384,20716736.15140079
GPS08,2009-06-30 01:59:44,-5918542.960904035,-15293860.215496028,20716974.247070197
GPS08,2009-06-30 02:00:00,-5918545.141795514,-15293857.86865719,20716975.13421238
GPS08,2009-06-30 03:59:44,-5917698.735357389,-15294346.644656645,20716852.179396786
GPS08,2009-06-30 06:00:00,-5917198.146999201,-15294029.426845472,20717234.696270052
GPS08,2009-06-30 08:00:00,-5916821.626241455,-15294866.858895332,20716771.138789747
GPS08,2009-06-30 10:00:00,-5918163.19503356,-15293717.944217931,20717238.243416388
GPS08,2009-06-30 12:00:00,-5917509.038496832,-15293888.319074439,20717293.968609042
GPS08,2009-06-30 14:00:00,-5917064.66196056,-15293171.205330659,20717961.905473523
GPS08,2009-06-30 16:00:00,-5916528.186228584,-15293508.803025182,20717877.578575246
GPS08,2009-06-30 18:00:00,-5917917.110099736,-15292964.292039353,20717865.517156404
GPS08,2009-06-30 19:59:28,-5917833.289304515,-15294425.46354927,20716848.556159984
GPS08,2009-06-30 20:00:00,-5917825.06024518,-15294433.402838284,20716845.149396364
GPS08,2009-06-30 21:59:28,-5919384.553031319,-15293265.52617949,20717269.535029724
GPS09,2009-06-30 00:00:00,-14851842.139719201,21600022.714069318,3310287.7814692687
GPS09,2009-06-30 02:00:00,-14852117.508031046,21600012.352706295,3309308.7334873984
GPS09,2009-06-30 04:00:00,-14852996.323614676,21599088.04772647,3311316.56847608
GPS09,2009-06-30 06:00:00,-14850972.496177167,21600324.92246057,3312067.7170778834
GPS09,2009-06-30 08:00:00,-14850308.479174837,21600662.52912849,3312956.092970716
GPS09,2009-06-30 10:00:00,-14849824.35143814,21601229.56042985,3311571.8279789235
GPS09,2009-06-30 12:00:00,-14852119.330170922,21599796.86714557,3310788.8824670585
GPS09,2009-06-30 13:59:44,-14852090.979039133,21600235.558143333,3308491.6955249645
GPS09,2009-06-30 14:00:00,-14852093.536492862,21600234.02635529,3308492.066411737
GPS09,2009-06-30 15:59:44,-14852806.100186804,21599420.142436292,3310568.1370752426
GPS09,2009-06-30 18:00:00,-14849963.5917395,21601274.204045262,3310931.459556264
GPS09,2009-06-30 20:00:00,-14850084.49003221,21601092.25067359,3311752.992565885
GPS09,2009-06-30 22:00:00,-14849158.679058025,21602064.61487267,3309754.0370047684
GPS10,2009-06-30 00:00:00,-26374787.15701429,1480498.2847808134,3990991.6660532495
GPS10,2009-06-30 02:00:00,-26374852.67605788,1480313.148142166,3990644.5431242874
GPS10,2009-06-30 04:00:00,-26374788.50115533,1480433.2356488602,3991009.018422291
GPS10,2009-06-30 06:00:00,-26374813.572208,1479496.7867093137,3991286.0414561154
GPS10,2009-06-30 08:00:00,-26374754.17134688,1479493.4958857899,3991622.902776644
GPS10,2009-06-30 10:00:00,-26374863.264715698,1479374.7814375497,3991077.6403483017
GPS10,2009-06-30 12:00:00,-26374635.558977004,1481595.2045664946,3991720.706043212
GPS10,2009-06-30 14:00:00,-26374864.612095524,1480542.1796887836,3990652.0371569255
GPS10,2009-06-30 15:59:44,-26374873.22572099,1480411.2476646074,3990617.786436528
GPS10,2009-06-30 16:00:00,-26374873.935968548,1480410.8406973497,3990614.0169680095
GPS10,2009-06-30 18:00:00,-26375157.523610134,1478817.920304428,3989597.04411718
GPS10,2009-06-30 20:00:00,-26375217.972814005,1478978.2987781747,3989080.1605236186
GPS10,2009-06-30 22:00:00,-26375416.463702217,1478393.4492082011,3988145.9784627706
GPS11,2009-06-30 00:00:00,11370229.240224333,-23468330.921900604,3722661.416535787
GPS11,2009-06-30 02:00:00,11369601.379393559,-23468776.060567215,3721807.0146056646
GPS11,2009-06-30 04:00:00,11369631.35159459,-23468710.19223649,3722280.079162803
GPS11,2009-06-30 06:00:00,11368329.11543902,-23469295.290447813,3722286.4968223255
GPS11,2009-06-30 08:00:00,11368742.161850374,-23469086.34778848,3722259.705280351
GPS11,2009-06-30 10:00:00,11368797.481222907,-23469091.819723375,3722099.286311843
GPS11,2009-06-30 11:59:44,11370340.22660647,-23468241.254223276,3722724.826635084
GPS11,2009-06-30 12:00:00,11370341.243747756,-23468240.212298874,3722728.2233841964
GPS11,2009-06-30 13:59:44,11369798.387888664,-23468493.393669575,3722786.5702230884
GPS11,2009-06-30 16:00:00,11370207.221764727,-23468166.789833646,3723719.394612708
GPS11,2009-06-30 18:00:00,11369026.335891623,-23468650.701170154,3724044.9128924273
GPS11,2009-06-30 20:00:00,11368496.441495355,-23468877.52535262,3724061.5422830847
GPS11,2009-06-30 22:00:00,11368405.480653225,-23469038.094177417,3723403.31327779
GPS12,2009-06-30 00:00:00,-14771042.055267593,12147542.078905959,-18311870.33461347
GPS12,2009-06-30 02:00:00,-14770422.22710798,12148062.65789948,-18312025.514647957
GPS12,2009-06-30 04:00:00,-14770642.812730512,12147986.70611856,-18311902.023140203
GPS12,2009-06-30 06:00:00,-14771733.198232498,12147787.398735432,-18311205.281143475
GPS12,2009-06-30 08:00:00,-14772481.849662729,12147592.913146127,-18310751.534010354
